FILIAL;MÊS;CONTA;REAL;ORÇ. GERENCIAL
0101-MCZ;JAN;311010101001 - RECEITA DE MERCADORIAS VENDIDAS NACIONAL;27.870.325;37.284.650
0101-MCZ;JAN;311010101006 - RECEITA DE FRETE MERCADORIA;112.172;358.587
0101-MCZ;JAN;311010102002 - ( - ) DESCONTOS INCONDICIONAIS;-549.493;-1.254.004
0101-MCZ;JAN;311010102003 - ( - ) ICMS S/ REVENDA MERCADORIA;-1.037.951;-1.370.934
0101-MCZ;JAN;311010102004 - ( - ) COFINS;-1.867.665;-2.442.963
0101-MCZ;JAN;311010102005 - ( - ) PIS/PASEP;-405.478;-564.638
0101-MCZ;JAN;311010102011 - ( - ) DEVOLUCAO DE VENDAS;-1.682.627;-1.789.663
0101-MCZ;JAN;311010102016 - ( - ) IPI;-412.735;-516.342
0101-MCZ;JAN;311010201001 - RECEITA PRESTACAO DE SERVICOS;31.579;0
0101-MCZ;JAN;311010201002 - RECEITA DE RECARGA DE CELULAR;152;0
0101-MCZ;JAN;311010201004 - RECEITA DE FRETE DE CLIENTE;305.162;0
0101-MCZ;JAN;311010202001 - ISS;-16.814;-17.929
0101-MCZ;JAN;311010202002 - PIS;-5.549;-5.917
0101-MCZ;JAN;311010202003 - COFINS;-25.557;-27.253
0101-MCZ;JAN;311020101001 - CUSTO DE MERCADORIA VENDIDA NACIONAL;-15.766.286;-19.772.950
0101-MCZ;JAN;311020101003 - CUSTO SOBRE QUEBRA DE MERCADORIA;-283.210;0
0101-MCZ;JAN;311040101001 - ADICIONAL NOTURNO;-949;-1.204
0101-MCZ;JAN;311040101005 - ALIMENTAÇÃO;-66.553;-122.720
0101-MCZ;JAN;311040101006 - ASSITÊNCIA MÉDICA;-148.887;0
0101-MCZ;JAN;311040101007 - AVISO PRÉVIO;-66.264;-16.860
0101-MCZ;JAN;311040101008 - BENEFÍCIOS A EMPREGADOS;-1.200;-2.400
0101-MCZ;JAN;311040101010 - COMISSÃO E REPOUSO REMUNERADO;-350.132;-560.290
0101-MCZ;JAN;311040101012 - CURSOS/TREINAMENTOS JD;0;-5.000
0101-MCZ;JAN;311040101015 - FERIAS;-39.788;-8.028
